UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '6', '10', '9', '2019', '6', '10', '3', '0.0'
'2019', '6', '10', '10', '2019', '6', '10', '4', '0.0'
'2019', '6', '10', '11', '2019', '6', '10', '5', '0.146'
'2019', '6', '10', '12', '2019', '6', '10', '6', '0.662'
'2019', '6', '10', '13', '2019', '6', '10', '7', '2.26'
'2019', '6', '10', '14', '2019', '6', '10', '8', '5.782'
'2019', '6', '10', '15', '2019', '6', '10', '9', '9.09'
'2019', '6', '10', '16', '2019', '6', '10', '10', '11.068'
'2019', '6', '10', '17', '2019', '6', '10', '11', '13.27'
'2019', '6', '10', '18', '2019', '6', '10', '12', '13.086'
'2019', '6', '10', '19', '2019', '6', '10', '13', '10.218'
'2019', '6', '10', '20', '2019', '6', '10', '14', '9.19'
'2019', '6', '10', '21', '2019', '6', '10', '15', '9.676'
'2019', '6', '10', '22', '2019', '6', '10', '16', '6.432'
'2019', '6', '10', '23', '2019', '6', '10', '17', '4.29'
'2019', '6', '11', '0', '2019', '6', '10', '18', '3.102'
'2019', '6', '11', '1', '2019', '6', '10', '19', '1.82'
'2019', '6', '11', '2', '2019', '6', '10', '20', '0.474'
'2019', '6', '11', '3', '2019', '6', '10', '21', '0.028'
'2019', '6', '11', '4', '2019', '6', '10', '22', '0.0'
'2019', '6', '11', '5', '2019', '6', '10', '23', '0.0'
'2019', '6', '11', '6', '2019', '6', '11', '0', '0.0'
'2019', '6', '11', '7', '2019', '6', '11', '1', '0.0'
'2019', '6', '11', '8', '2019', '6', '11', '2', '0.0'
'2019', '6', '11', '9', '2019', '6', '11', '3', '0.0'
'2019', '6', '11', '10', '2019', '6', '11', '4', '0.0'
'2019', '6', '11', '11', '2019', '6', '11', '5', '0.1397'
'2019', '6', '11', '12', '2019', '6', '11', '6', '0.49'
'2019', '6', '11', '13', '2019', '6', '11', '7', '1.488'
'2019', '6', '11', '14', '2019', '6', '11', '8', '4.548'
'2019', '6', '11', '15', '2019', '6', '11', '9', '7.516'
'2019', '6', '11', '16', '2019', '6', '11', '10', '11.338'
'2019', '6', '11', '17', '2019', '6', '11', '11', '13.502'
'2019', '6', '11', '18', '2019', '6', '11', '12', '13.148'
'2019', '6', '11', '19', '2019', '6', '11', '13', '8.66'
'2019', '6', '11', '20', '2019', '6', '11', '14', '9.068'
'2019', '6', '11', '21', '2019', '6', '11', '15', '7.752'
'2019', '6', '11', '22', '2019', '6', '11', '16', '9.386'
'2019', '6', '11', '23', '2019', '6', '11', '17', '8.022'
'2019', '6', '12', '0', '2019', '6', '11', '18', '3.924'
'2019', '6', '12', '1', '2019', '6', '11', '19', '1.672'
'2019', '6', '12', '2', '2019', '6', '11', '20', '0.296'
'2019', '6', '12', '3', '2019', '6', '11', '21', '0.046'
'2019', '6', '12', '4', '2019', '6', '11', '22', '0.0'
'2019', '6', '12', '5', '2019', '6', '11', '23', '0.0'
'2019', '6', '12', '6', '2019', '6', '12', '0', '0.0'
'2019', '6', '12', '7', '2019', '6', '12', '1', '0.0'
'2019', '6', '12', '8', '2019', '6', '12', '2', '0.0'
'2019', '6', '12', '9', '2019', '6', '12', '3', '0.0'
'2019', '6', '12', '10', '2019', '6', '12', '4', '0.0'
'2019', '6', '12', '11', '2019', '6', '12', '5', '0.0802'
'2019', '6', '12', '12', '2019', '6', '12', '6', '0.46'
'2019', '6', '12', '13', '2019', '6', '12', '7', '2.134'
'2019', '6', '12', '14', '2019', '6', '12', '8', '5.56'
'2019', '6', '12', '15', '2019', '6', '12', '9', '8.69'
'2019', '6', '12', '16', '2019', '6', '12', '10', '11.254'
'2019', '6', '12', '17', '2019', '6', '12', '11', '12.97'
'2019', '6', '12', '18', '2019', '6', '12', '12', '13.946'
'2019', '6', '12', '19', '2019', '6', '12', '13', '14.12'
'2019', '6', '12', '20', '2019', '6', '12', '14', '12.082'
'2019', '6', '12', '21', '2019', '6', '12', '15', '11.842'
'2019', '6', '12', '22', '2019', '6', '12', '16', '10.478'
'2019', '6', '12', '23', '2019', '6', '12', '17', '8.274'
'2019', '6', '13', '0', '2019', '6', '12', '18', '4.656'
'2019', '6', '13', '1', '2019', '6', '12', '19', '2.102'
'2019', '6', '13', '2', '2019', '6', '12', '20', '0.474'
'2019', '6', '13', '3', '2019', '6', '12', '21', '0.056'
'2019', '6', '13', '4', '2019', '6', '12', '22', '0.0'
'2019', '6', '13', '5', '2019', '6', '12', '23', '0.0'
'2019', '6', '13', '6', '2019', '6', '13', '0', '0.0'
'2019', '6', '13', '7', '2019', '6', '13', '1', '0.0'
'2019', '6', '13', '8', '2019', '6', '13', '2', '0.0'
'2019', '6', '13', '9', '2019', '6', '13', '3', '0.0'
'2019', '6', '13', '10', '2019', '6', '13', '4', '0.0'
'2019', '6', '13', '11', '2019', '6', '13', '5', '0.072'
'2019', '6', '13', '12', '2019', '6', '13', '6', '0.508'
'2019', '6', '13', '13', '2019', '6', '13', '7', '2.62'
'2019', '6', '13', '14', '2019', '6', '13', '8', '5.394'
'2019', '6', '13', '15', '2019', '6', '13', '9', '7.528'
'2019', '6', '13', '16', '2019', '6', '13', '10', '10.958'
'2019', '6', '13', '17', '2019', '6', '13', '11', '13.04'
'2019', '6', '13', '18', '2019', '6', '13', '12', '14.174'
'2019', '6', '13', '19', '2019', '6', '13', '13', '13.384'
'2019', '6', '13', '20', '2019', '6', '13', '14', '13.586'
'2019', '6', '13', '21', '2019', '6', '13', '15', '10.984'
'2019', '6', '13', '22', '2019', '6', '13', '16', '10.77'
