UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '1', '7', '0', '2019', '1', '6', '17', '0.0'
'2019', '1', '7', '1', '2019', '1', '6', '18', '0.0'
'2019', '1', '7', '2', '2019', '1', '6', '19', '0.0'
'2019', '1', '7', '3', '2019', '1', '6', '20', '0.0'
'2019', '1', '7', '4', '2019', '1', '6', '21', '0.0'
'2019', '1', '7', '5', '2019', '1', '6', '22', '0.0'
'2019', '1', '7', '6', '2019', '1', '6', '23', '0.0'
'2019', '1', '7', '7', '2019', '1', '7', '0', '0.0'
'2019', '1', '7', '8', '2019', '1', '7', '1', '0.0'
'2019', '1', '7', '9', '2019', '1', '7', '2', '0.0'
'2019', '1', '7', '10', '2019', '1', '7', '3', '0.0'
'2019', '1', '7', '11', '2019', '1', '7', '4', '0.0'
'2019', '1', '7', '12', '2019', '1', '7', '5', '0.0'
'2019', '1', '7', '13', '2019', '1', '7', '6', '0.0'
'2019', '1', '7', '14', '2019', '1', '7', '7', '0.0'
'2019', '1', '7', '15', '2019', '1', '7', '8', '645.9854559999999'
'2019', '1', '7', '16', '2019', '1', '7', '9', '19560.710857'
'2019', '1', '7', '17', '2019', '1', '7', '10', '28640.903696'
'2019', '1', '7', '18', '2019', '1', '7', '11', '31905.464212000003'
'2019', '1', '7', '19', '2019', '1', '7', '12', '30039.494657000003'
'2019', '1', '7', '20', '2019', '1', '7', '13', '22615.215602000004'
'2019', '1', '7', '21', '2019', '1', '7', '14', '18832.767735'
'2019', '1', '7', '22', '2019', '1', '7', '15', '10354.305953000001'
'2019', '1', '7', '23', '2019', '1', '7', '16', '577.5881039999999'
'2019', '1', '8', '0', '2019', '1', '7', '17', '0.0'
'2019', '1', '8', '1', '2019', '1', '7', '18', '0.0'
'2019', '1', '8', '2', '2019', '1', '7', '19', '0.0'
'2019', '1', '8', '3', '2019', '1', '7', '20', '0.0'
'2019', '1', '8', '4', '2019', '1', '7', '21', '0.0'
'2019', '1', '8', '5', '2019', '1', '7', '22', '0.0'
'2019', '1', '8', '6', '2019', '1', '7', '23', '0.0'
'2019', '1', '8', '7', '2019', '1', '8', '0', '0.0'
'2019', '1', '8', '8', '2019', '1', '8', '1', '0.0'
'2019', '1', '8', '9', '2019', '1', '8', '2', '0.0'
'2019', '1', '8', '10', '2019', '1', '8', '3', '0.0'
'2019', '1', '8', '11', '2019', '1', '8', '4', '0.0'
'2019', '1', '8', '12', '2019', '1', '8', '5', '0.0'
'2019', '1', '8', '13', '2019', '1', '8', '6', '0.0'
'2019', '1', '8', '14', '2019', '1', '8', '7', '0.0'
'2019', '1', '8', '15', '2019', '1', '8', '8', '241.778853'
'2019', '1', '8', '16', '2019', '1', '8', '9', '23977.144312000004'
'2019', '1', '8', '17', '2019', '1', '8', '10', '66238.579234'
'2019', '1', '8', '18', '2019', '1', '8', '11', '49833.267867999995'
'2019', '1', '8', '19', '2019', '1', '8', '12', '42323.54425'
'2019', '1', '8', '20', '2019', '1', '8', '13', '50514.867813000004'
'2019', '1', '8', '21', '2019', '1', '8', '14', '56916.666337'
'2019', '1', '8', '22', '2019', '1', '8', '15', '39861.351125'
'2019', '1', '8', '23', '2019', '1', '8', '16', '2986.540516'
'2019', '1', '9', '0', '2019', '1', '8', '17', '0.0'
'2019', '1', '9', '1', '2019', '1', '8', '18', '0.0'
'2019', '1', '9', '2', '2019', '1', '8', '19', '0.0'
'2019', '1', '9', '3', '2019', '1', '8', '20', '0.0'
'2019', '1', '9', '4', '2019', '1', '8', '21', '0.0'
'2019', '1', '9', '5', '2019', '1', '8', '22', '0.0'
'2019', '1', '9', '6', '2019', '1', '8', '23', '0.0'
'2019', '1', '9', '7', '2019', '1', '9', '0', '0.0'
'2019', '1', '9', '8', '2019', '1', '9', '1', '0.0'
'2019', '1', '9', '9', '2019', '1', '9', '2', '0.0'
'2019', '1', '9', '10', '2019', '1', '9', '3', '0.0'
'2019', '1', '9', '11', '2019', '1', '9', '4', '0.0'
'2019', '1', '9', '12', '2019', '1', '9', '5', '0.0'
'2019', '1', '9', '13', '2019', '1', '9', '6', '0.0'
'2019', '1', '9', '14', '2019', '1', '9', '7', '0.0'
'2019', '1', '9', '15', '2019', '1', '9', '8', '39.355818'
'2019', '1', '9', '16', '2019', '1', '9', '9', '22934.93866'
'2019', '1', '9', '17', '2019', '1', '9', '10', '55508.684297'
'2019', '1', '9', '18', '2019', '1', '9', '11', '46768.539439'
'2019', '1', '9', '19', '2019', '1', '9', '12', '41442.86607800001'
'2019', '1', '9', '20', '2019', '1', '9', '13', '48055.48082'
'2019', '1', '9', '21', '2019', '1', '9', '14', '55633.719048'
'2019', '1', '9', '22', '2019', '1', '9', '15', '42910.568219'
'2019', '1', '9', '23', '2019', '1', '9', '16', '5080.404687'
'2019', '1', '10', '0', '2019', '1', '9', '17', '0.0'
'2019', '1', '10', '1', '2019', '1', '9', '18', '0.0'
'2019', '1', '10', '2', '2019', '1', '9', '19', '0.0'
'2019', '1', '10', '3', '2019', '1', '9', '20', '0.0'
'2019', '1', '10', '4', '2019', '1', '9', '21', '0.0'
'2019', '1', '10', '5', '2019', '1', '9', '22', '0.0'
'2019', '1', '10', '6', '2019', '1', '9', '23', '0.0'
'2019', '1', '10', '7', '2019', '1', '10', '0', '0.0'
