UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '9', '10', '2019', '1', '9', '3', '0.0'
'2019', '1', '9', '11', '2019', '1', '9', '4', '0.0'
'2019', '1', '9', '12', '2019', '1', '9', '5', '0.0'
'2019', '1', '9', '13', '2019', '1', '9', '6', '0.0'
'2019', '1', '9', '14', '2019', '1', '9', '7', '0.0'
'2019', '1', '9', '15', '2019', '1', '9', '8', '0.039355818'
'2019', '1', '9', '16', '2019', '1', '9', '9', '24.534074785'
'2019', '1', '9', '17', '2019', '1', '9', '10', '55.656310481'
'2019', '1', '9', '18', '2019', '1', '9', '11', '47.067313205000005'
'2019', '1', '9', '19', '2019', '1', '9', '12', '42.43940173399999'
'2019', '1', '9', '20', '2019', '1', '9', '13', '53.300825445'
'2019', '1', '9', '21', '2019', '1', '9', '14', '55.991424337000005'
'2019', '1', '9', '22', '2019', '1', '9', '15', '42.996456517999995'
'2019', '1', '9', '23', '2019', '1', '9', '16', '5.080404687'
'2019', '1', '10', '0', '2019', '1', '9', '17', '0.0'
'2019', '1', '10', '1', '2019', '1', '9', '18', '0.0'
'2019', '1', '10', '2', '2019', '1', '9', '19', '0.0'
'2019', '1', '10', '3', '2019', '1', '9', '20', '0.0'
'2019', '1', '10', '4', '2019', '1', '9', '21', '0.0'
'2019', '1', '10', '5', '2019', '1', '9', '22', '0.0'
'2019', '1', '10', '6', '2019', '1', '9', '23', '0.0'
'2019', '1', '10', '7', '2019', '1', '10', '0', '0.0'
'2019', '1', '10', '8', '2019', '1', '10', '1', '0.0'
'2019', '1', '10', '9', '2019', '1', '10', '2', '0.0'
'2019', '1', '10', '10', '2019', '1', '10', '3', '0.0'
'2019', '1', '10', '11', '2019', '1', '10', '4', '0.0'
'2019', '1', '10', '12', '2019', '1', '10', '5', '0.0'
'2019', '1', '10', '13', '2019', '1', '10', '6', '0.0'
'2019', '1', '10', '14', '2019', '1', '10', '7', '0.0'
'2019', '1', '10', '15', '2019', '1', '10', '8', '0.091754347'
'2019', '1', '10', '16', '2019', '1', '10', '9', '32.192812939'
