UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '1', '7', '8', '2019', '1', '7', '1', '0.0'
'2019', '1', '7', '9', '2019', '1', '7', '2', '0.0'
'2019', '1', '7', '10', '2019', '1', '7', '3', '0.0'
'2019', '1', '7', '11', '2019', '1', '7', '4', '0.0'
'2019', '1', '7', '12', '2019', '1', '7', '5', '0.0'
'2019', '1', '7', '13', '2019', '1', '7', '6', '0.0'
'2019', '1', '7', '14', '2019', '1', '7', '7', '0.0'
'2019', '1', '7', '15', '2019', '1', '7', '8', '0.0'
'2019', '1', '7', '16', '2019', '1', '7', '9', '23.236293'
'2019', '1', '7', '17', '2019', '1', '7', '10', '288.529086'
'2019', '1', '7', '18', '2019', '1', '7', '11', '245.66186'
'2019', '1', '7', '19', '2019', '1', '7', '12', '243.614977'
'2019', '1', '7', '20', '2019', '1', '7', '13', '248.160883'
'2019', '1', '7', '21', '2019', '1', '7', '14', '370.94361000000004'
'2019', '1', '7', '22', '2019', '1', '7', '15', '66.345738'
'2019', '1', '7', '23', '2019', '1', '7', '16', '14.954486'
'2019', '1', '8', '0', '2019', '1', '7', '17', '0.0'
'2019', '1', '8', '1', '2019', '1', '7', '18', '0.0'
'2019', '1', '8', '2', '2019', '1', '7', '19', '0.0'
'2019', '1', '8', '3', '2019', '1', '7', '20', '0.0'
'2019', '1', '8', '4', '2019', '1', '7', '21', '0.0'
'2019', '1', '8', '5', '2019', '1', '7', '22', '0.0'
'2019', '1', '8', '6', '2019', '1', '7', '23', '0.0'
'2019', '1', '8', '7', '2019', '1', '8', '0', '0.0'
'2019', '1', '8', '8', '2019', '1', '8', '1', '0.0'
'2019', '1', '8', '9', '2019', '1', '8', '2', '0.0'
'2019', '1', '8', '10', '2019', '1', '8', '3', '0.0'
'2019', '1', '8', '11', '2019', '1', '8', '4', '0.0'
'2019', '1', '8', '12', '2019', '1', '8', '5', '0.0'
'2019', '1', '8', '13', '2019', '1', '8', '6', '0.0'
'2019', '1', '8', '14', '2019', '1', '8', '7', '0.0'
'2019', '1', '8', '15', '2019', '1', '8', '8', '0.0'
'2019', '1', '8', '16', '2019', '1', '8', '9', '0.0'
'2019', '1', '8', '17', '2019', '1', '8', '10', '156.917125'
'2019', '1', '8', '18', '2019', '1', '8', '11', '352.473367'
'2019', '1', '8', '19', '2019', '1', '8', '12', '121.246926'
'2019', '1', '8', '20', '2019', '1', '8', '13', '188.12167000000002'
'2019', '1', '8', '21', '2019', '1', '8', '14', '271.152938'
'2019', '1', '8', '22', '2019', '1', '8', '15', '503.986297'
'2019', '1', '8', '23', '2019', '1', '8', '16', '127.159527'
'2019', '1', '9', '0', '2019', '1', '8', '17', '0.0'
'2019', '1', '9', '1', '2019', '1', '8', '18', '0.0'
'2019', '1', '9', '2', '2019', '1', '8', '19', '0.0'
'2019', '1', '9', '3', '2019', '1', '8', '20', '0.0'
'2019', '1', '9', '4', '2019', '1', '8', '21', '0.0'
'2019', '1', '9', '5', '2019', '1', '8', '22', '0.0'
'2019', '1', '9', '6', '2019', '1', '8', '23', '0.0'
'2019', '1', '9', '7', '2019', '1', '9', '0', '0.0'
'2019', '1', '9', '8', '2019', '1', '9', '1', '0.0'
'2019', '1', '9', '9', '2019', '1', '9', '2', '0.0'
'2019', '1', '9', '10', '2019', '1', '9', '3', '0.0'
'2019', '1', '9', '11', '2019', '1', '9', '4', '0.0'
'2019', '1', '9', '12', '2019', '1', '9', '5', '0.0'
'2019', '1', '9', '13', '2019', '1', '9', '6', '0.0'
'2019', '1', '9', '14', '2019', '1', '9', '7', '0.0'
'2019', '1', '9', '15', '2019', '1', '9', '8', '0.0'
'2019', '1', '9', '16', '2019', '1', '9', '9', '128.57939100000002'
'2019', '1', '9', '17', '2019', '1', '9', '10', '485.509141'
'2019', '1', '9', '18', '2019', '1', '9', '11', '487.103828'
'2019', '1', '9', '19', '2019', '1', '9', '12', '373.310633'
'2019', '1', '9', '20', '2019', '1', '9', '13', '366.23882000000003'
'2019', '1', '9', '21', '2019', '1', '9', '14', '497.33306300000004'
'2019', '1', '9', '22', '2019', '1', '9', '15', '451.98654700000003'
'2019', '1', '9', '23', '2019', '1', '9', '16', '105.41376299999999'
'2019', '1', '10', '0', '2019', '1', '9', '17', '0.0'
'2019', '1', '10', '1', '2019', '1', '9', '18', '0.0'
'2019', '1', '10', '2', '2019', '1', '9', '19', '0.0'
'2019', '1', '10', '3', '2019', '1', '9', '20', '0.0'
'2019', '1', '10', '4', '2019', '1', '9', '21', '0.0'
'2019', '1', '10', '5', '2019', '1', '9', '22', '0.0'
'2019', '1', '10', '6', '2019', '1', '9', '23', '0.0'
'2019', '1', '10', '7', '2019', '1', '10', '0', '0.0'
'2019', '1', '10', '8', '2019', '1', '10', '1', '0.0'
'2019', '1', '10', '9', '2019', '1', '10', '2', '0.0'
'2019', '1', '10', '10', '2019', '1', '10', '3', '0.0'
'2019', '1', '10', '11', '2019', '1', '10', '4', '0.0'
'2019', '1', '10', '12', '2019', '1', '10', '5', '0.0'
'2019', '1', '10', '13', '2019', '1', '10', '6', '0.0'
'2019', '1', '10', '14', '2019', '1', '10', '7', '0.0'
'2019', '1', '10', '15', '2019', '1', '10', '8', '0.0'
'2019', '1', '10', '16', '2019', '1', '10', '9', '128.392891'
'2019', '1', '10', '17', '2019', '1', '10', '10', '578.13264'
'2019', '1', '10', '18', '2019', '1', '10', '11', '474.95087499999994'
'2019', '1', '10', '19', '2019', '1', '10', '12', '477.529672'
'2019', '1', '10', '20', '2019', '1', '10', '13', '500.06143799999995'
'2019', '1', '10', '21', '2019', '1', '10', '14', '669.137'
'2019', '1', '10', '22', '2019', '1', '10', '15', '643.4845'
'2019', '1', '10', '23', '2019', '1', '10', '16', '162.570363'
'2019', '1', '11', '0', '2019', '1', '10', '17', '0.0'
'2019', '1', '11', '1', '2019', '1', '10', '18', '0.0'
'2019', '1', '11', '2', '2019', '1', '10', '19', '0.0'
'2019', '1', '11', '3', '2019', '1', '10', '20', '0.0'
'2019', '1', '11', '4', '2019', '1', '10', '21', '0.0'
'2019', '1', '11', '5', '2019', '1', '10', '22', '0.0'
'2019', '1', '11', '6', '2019', '1', '10', '23', '0.0'
'2019', '1', '11', '7', '2019', '1', '11', '0', '0.0'
'2019', '1', '11', '8', '2019', '1', '11', '1', '0.0'
'2019', '1', '11', '9', '2019', '1', '11', '2', '0.0'
'2019', '1', '11', '10', '2019', '1', '11', '3', '0.0'
'2019', '1', '11', '11', '2019', '1', '11', '4', '0.0'
'2019', '1', '11', '12', '2019', '1', '11', '5', '0.0'
'2019', '1', '11', '13', '2019', '1', '11', '6', '0.0'
'2019', '1', '11', '14', '2019', '1', '11', '7', '0.0'
'2019', '1', '11', '15', '2019', '1', '11', '8', '0.0'
'2019', '1', '11', '16', '2019', '1', '11', '9', '48.015555'
'2019', '1', '11', '17', '2019', '1', '11', '10', '204.501922'
'2019', '1', '11', '18', '2019', '1', '11', '11', '142.560562'
'2019', '1', '11', '19', '2019', '1', '11', '12', '364.72407899999996'
'2019', '1', '11', '20', '2019', '1', '11', '13', '266.458305'
'2019', '1', '11', '21', '2019', '1', '11', '14', '307.189297'
'2019', '1', '11', '22', '2019', '1', '11', '15', '157.93391'
'2019', '1', '11', '23', '2019', '1', '11', '16', '60.051239'
'2019', '1', '12', '0', '2019', '1', '11', '17', '0.0'
'2019', '1', '12', '1', '2019', '1', '11', '18', '0.0'
'2019', '1', '12', '2', '2019', '1', '11', '19', '0.0'
'2019', '1', '12', '3', '2019', '1', '11', '20', '0.0'
'2019', '1', '12', '4', '2019', '1', '11', '21', '0.0'
'2019', '1', '12', '5', '2019', '1', '11', '22', '0.0'
'2019', '1', '12', '6', '2019', '1', '11', '23', '0.0'
'2019', '1', '12', '7', '2019', '1', '12', '0', '0.0'
'2019', '1', '12', '8', '2019', '1', '12', '1', '0.0'
'2019', '1', '12', '9', '2019', '1', '12', '2', '0.0'
'2019', '1', '12', '10', '2019', '1', '12', '3', '0.0'
'2019', '1', '12', '11', '2019', '1', '12', '4', '0.0'
'2019', '1', '12', '12', '2019', '1', '12', '5', '0.0'
'2019', '1', '12', '13', '2019', '1', '12', '6', '0.0'
'2019', '1', '12', '14', '2019', '1', '12', '7', '0.0'
'2019', '1', '12', '15', '2019', '1', '12', '8', '0.0'
'2019', '1', '12', '16', '2019', '1', '12', '9', '0.0'
'2019', '1', '12', '17', '2019', '1', '12', '10', '197.184984'
'2019', '1', '12', '18', '2019', '1', '12', '11', '288.634422'
'2019', '1', '12', '19', '2019', '1', '12', '12', '411.941062'
'2019', '1', '12', '20', '2019', '1', '12', '13', '268.592196'
'2019', '1', '12', '21', '2019', '1', '12', '14', '283.184851'
'2019', '1', '12', '22', '2019', '1', '12', '15', '356.688391'
'2019', '1', '12', '23', '2019', '1', '12', '16', '97.234144'
'2019', '1', '13', '0', '2019', '1', '12', '17', '0.0'
'2019', '1', '13', '1', '2019', '1', '12', '18', '0.0'
'2019', '1', '13', '2', '2019', '1', '12', '19', '0.0'
'2019', '1', '13', '3', '2019', '1', '12', '20', '0.0'
'2019', '1', '13', '4', '2019', '1', '12', '21', '0.0'
'2019', '1', '13', '5', '2019', '1', '12', '22', '0.0'
'2019', '1', '13', '6', '2019', '1', '12', '23', '0.0'
'2019', '1', '13', '7', '2019', '1', '13', '0', '0.0'
'2019', '1', '13', '8', '2019', '1', '13', '1', '0.0'
'2019', '1', '13', '9', '2019', '1', '13', '2', '0.0'
'2019', '1', '13', '10', '2019', '1', '13', '3', '0.0'
'2019', '1', '13', '11', '2019', '1', '13', '4', '0.0'
'2019', '1', '13', '12', '2019', '1', '13', '5', '0.0'
'2019', '1', '13', '13', '2019', '1', '13', '6', '0.0'
'2019', '1', '13', '14', '2019', '1', '13', '7', '0.0'
'2019', '1', '13', '15', '2019', '1', '13', '8', '0.0'
'2019', '1', '13', '16', '2019', '1', '13', '9', '143.11375'
'2019', '1', '13', '17', '2019', '1', '13', '10', '445.056691'
'2019', '1', '13', '18', '2019', '1', '13', '11', '394.481153'
'2019', '1', '13', '19', '2019', '1', '13', '12', '204.825758'
'2019', '1', '13', '20', '2019', '1', '13', '13', '327.16799199999997'
'2019', '1', '13', '21', '2019', '1', '13', '14', '262.062039'
'2019', '1', '13', '22', '2019', '1', '13', '15', '345.057227'
'2019', '1', '13', '23', '2019', '1', '13', '16', '106.373101'
'2019', '1', '14', '0', '2019', '1', '13', '17', '0.0'
'2019', '1', '14', '1', '2019', '1', '13', '18', '0.0'
'2019', '1', '14', '2', '2019', '1', '13', '19', '0.0'
'2019', '1', '14', '3', '2019', '1', '13', '20', '0.0'
'2019', '1', '14', '4', '2019', '1', '13', '21', '0.0'
'2019', '1', '14', '5', '2019', '1', '13', '22', '0.0'
'2019', '1', '14', '6', '2019', '1', '13', '23', '0.0'
'2019', '1', '14', '7', '2019', '1', '14', '0', '0.0'
'2019', '1', '14', '8', '2019', '1', '14', '1', '0.0'
'2019', '1', '14', '9', '2019', '1', '14', '2', '0.0'
'2019', '1', '14', '10', '2019', '1', '14', '3', '0.0'
'2019', '1', '14', '11', '2019', '1', '14', '4', '0.0'
'2019', '1', '14', '12', '2019', '1', '14', '5', '0.0'
'2019', '1', '14', '13', '2019', '1', '14', '6', '0.0'
'2019', '1', '14', '14', '2019', '1', '14', '7', '0.0'
'2019', '1', '14', '15', '2019', '1', '14', '8', '0.0'
'2019', '1', '14', '16', '2019', '1', '14', '9', '66.376856'
'2019', '1', '14', '17', '2019', '1', '14', '10', '308.98873100000003'
'2019', '1', '14', '18', '2019', '1', '14', '11', '442.11237500000004'
'2019', '1', '14', '19', '2019', '1', '14', '12', '346.525313'
'2019', '1', '14', '20', '2019', '1', '14', '13', '391.215906'
'2019', '1', '14', '21', '2019', '1', '14', '14', '690.2272820000001'
'2019', '1', '14', '22', '2019', '1', '14', '15', '691.574938'
'2019', '1', '14', '23', '2019', '1', '14', '16', '158.823586'
'2019', '1', '15', '0', '2019', '1', '14', '17', '0.0'
'2019', '1', '15', '1', '2019', '1', '14', '18', '0.0'
'2019', '1', '15', '2', '2019', '1', '14', '19', '0.0'
'2019', '1', '15', '3', '2019', '1', '14', '20', '0.0'
'2019', '1', '15', '4', '2019', '1', '14', '21', '0.0'
'2019', '1', '15', '5', '2019', '1', '14', '22', '0.0'
'2019', '1', '15', '6', '2019', '1', '14', '23', '0.0'
'2019', '1', '15', '7', '2019', '1', '15', '0', '0.0'
'2019', '1', '15', '8', '2019', '1', '15', '1', '0.0'
'2019', '1', '15', '9', '2019', '1', '15', '2', '0.0'
'2019', '1', '15', '10', '2019', '1', '15', '3', '0.0'
'2019', '1', '15', '11', '2019', '1', '15', '4', '0.0'
'2019', '1', '15', '12', '2019', '1', '15', '5', '0.0'
'2019', '1', '15', '13', '2019', '1', '15', '6', '0.0'
'2019', '1', '15', '14', '2019', '1', '15', '7', '0.0'
'2019', '1', '15', '15', '2019', '1', '15', '8', '0.0'
'2019', '1', '15', '16', '2019', '1', '15', '9', '157.97077199999998'
'2019', '1', '15', '17', '2019', '1', '15', '10', '552.4463049999999'
'2019', '1', '15', '18', '2019', '1', '15', '11', '742.9235940000001'
'2019', '1', '15', '19', '2019', '1', '15', '12', '568.378938'
'2019', '1', '15', '20', '2019', '1', '15', '13', '531.743203'
'2019', '1', '15', '21', '2019', '1', '15', '14', '697.044938'
'2019', '1', '15', '22', '2019', '1', '15', '15', '544.823844'
'2019', '1', '15', '23', '2019', '1', '15', '16', '227.099438'
'2019', '1', '16', '0', '2019', '1', '15', '17', '0.0'
'2019', '1', '16', '1', '2019', '1', '15', '18', '0.0'
'2019', '1', '16', '2', '2019', '1', '15', '19', '0.0'
'2019', '1', '16', '3', '2019', '1', '15', '20', '0.0'
'2019', '1', '16', '4', '2019', '1', '15', '21', '0.0'
'2019', '1', '16', '5', '2019', '1', '15', '22', '0.0'
'2019', '1', '16', '6', '2019', '1', '15', '23', '0.0'
'2019', '1', '16', '7', '2019', '1', '16', '0', '0.0'
'2019', '1', '16', '8', '2019', '1', '16', '1', '0.0'
'2019', '1', '16', '9', '2019', '1', '16', '2', '0.0'
'2019', '1', '16', '10', '2019', '1', '16', '3', '0.0'
'2019', '1', '16', '11', '2019', '1', '16', '4', '0.0'
'2019', '1', '16', '12', '2019', '1', '16', '5', '0.0'
'2019', '1', '16', '13', '2019', '1', '16', '6', '0.0'
'2019', '1', '16', '14', '2019', '1', '16', '7', '0.0'
'2019', '1', '16', '15', '2019', '1', '16', '8', '0.0'
'2019', '1', '16', '16', '2019', '1', '16', '9', '82.616547'
'2019', '1', '16', '17', '2019', '1', '16', '10', '457.645328'
'2019', '1', '16', '18', '2019', '1', '16', '11', '346.432887'
'2019', '1', '16', '19', '2019', '1', '16', '12', '261.31305499999996'
'2019', '1', '16', '20', '2019', '1', '16', '13', '302.586875'
'2019', '1', '16', '21', '2019', '1', '16', '14', '458.592813'
'2019', '1', '16', '22', '2019', '1', '16', '15', '418.230469'
'2019', '1', '16', '23', '2019', '1', '16', '16', '86.77164099999999'
'2019', '1', '17', '0', '2019', '1', '16', '17', '0.0'
'2019', '1', '17', '1', '2019', '1', '16', '18', '0.0'
'2019', '1', '17', '2', '2019', '1', '16', '19', '0.0'
'2019', '1', '17', '3', '2019', '1', '16', '20', '0.0'
'2019', '1', '17', '4', '2019', '1', '16', '21', '0.0'
