UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '20', '4', '2019', '1', '19', '21', '0.0'
'2019', '1', '20', '5', '2019', '1', '19', '22', '0.0'
'2019', '1', '20', '6', '2019', '1', '19', '23', '0.0'
'2019', '1', '20', '7', '2019', '1', '20', '0', '0.0'
'2019', '1', '20', '8', '2019', '1', '20', '1', '0.0'
'2019', '1', '20', '9', '2019', '1', '20', '2', '0.0'
'2019', '1', '20', '10', '2019', '1', '20', '3', '0.0'
'2019', '1', '20', '11', '2019', '1', '20', '4', '0.0'
'2019', '1', '20', '12', '2019', '1', '20', '5', '0.0'
'2019', '1', '20', '13', '2019', '1', '20', '6', '0.0'
'2019', '1', '20', '14', '2019', '1', '20', '7', '0.0'
'2019', '1', '20', '15', '2019', '1', '20', '8', '0.0'
'2019', '1', '20', '16', '2019', '1', '20', '9', '0.189197527'
'2019', '1', '20', '17', '2019', '1', '20', '10', '0.30632968699999996'
'2019', '1', '20', '18', '2019', '1', '20', '11', '0.55219325'
'2019', '1', '20', '19', '2019', '1', '20', '12', '0.317914158'
'2019', '1', '20', '20', '2019', '1', '20', '13', '0.33079810899999995'
'2019', '1', '20', '21', '2019', '1', '20', '14', '0.26721220300000004'
'2019', '1', '20', '22', '2019', '1', '20', '15', '0.12657212099999998'
'2019', '1', '20', '23', '2019', '1', '20', '16', '0.123399326'
'2019', '1', '21', '0', '2019', '1', '20', '17', '0.0'
'2019', '1', '21', '1', '2019', '1', '20', '18', '0.0'
'2019', '1', '21', '2', '2019', '1', '20', '19', '0.0'
'2019', '1', '21', '3', '2019', '1', '20', '20', '0.0'
'2019', '1', '21', '4', '2019', '1', '20', '21', '0.0'
'2019', '1', '21', '5', '2019', '1', '20', '22', '0.0'
'2019', '1', '21', '6', '2019', '1', '20', '23', '0.0'
'2019', '1', '21', '7', '2019', '1', '21', '0', '0.0'
'2019', '1', '21', '8', '2019', '1', '21', '1', '0.0'
'2019', '1', '21', '9', '2019', '1', '21', '2', '0.0'
'2019', '1', '21', '10', '2019', '1', '21', '3', '0.0'
'2019', '1', '21', '11', '2019', '1', '21', '4', '0.0'
'2019', '1', '21', '12', '2019', '1', '21', '5', '0.0'
'2019', '1', '21', '13', '2019', '1', '21', '6', '0.0'
'2019', '1', '21', '14', '2019', '1', '21', '7', '0.0'
'2019', '1', '21', '15', '2019', '1', '21', '8', '0.0'
'2019', '1', '21', '16', '2019', '1', '21', '9', '0.17129325'
'2019', '1', '21', '17', '2019', '1', '21', '10', '0.23003433'
'2019', '1', '21', '18', '2019', '1', '21', '11', '0.17133037099999998'
'2019', '1', '21', '19', '2019', '1', '21', '12', '0.327883195'
'2019', '1', '21', '20', '2019', '1', '21', '13', '0.406798508'
'2019', '1', '21', '21', '2019', '1', '21', '14', '0.48310627'
'2019', '1', '21', '22', '2019', '1', '21', '15', '0.44232773599999997'
'2019', '1', '21', '23', '2019', '1', '21', '16', '0.13798007'
'2019', '1', '22', '0', '2019', '1', '21', '17', '0.0'
'2019', '1', '22', '1', '2019', '1', '21', '18', '0.0'
'2019', '1', '22', '2', '2019', '1', '21', '19', '0.0'
'2019', '1', '22', '3', '2019', '1', '21', '20', '0.0'
'2019', '1', '22', '4', '2019', '1', '21', '21', '0.0'
'2019', '1', '22', '5', '2019', '1', '21', '22', '0.0'
'2019', '1', '22', '6', '2019', '1', '21', '23', '0.0'
'2019', '1', '22', '7', '2019', '1', '22', '0', '0.0'
'2019', '1', '22', '8', '2019', '1', '22', '1', '0.0'
'2019', '1', '22', '9', '2019', '1', '22', '2', '0.0'
'2019', '1', '22', '10', '2019', '1', '22', '3', '0.0'
'2019', '1', '22', '11', '2019', '1', '22', '4', '0.0'
'2019', '1', '22', '12', '2019', '1', '22', '5', '0.0'
'2019', '1', '22', '13', '2019', '1', '22', '6', '0.0'
'2019', '1', '22', '14', '2019', '1', '22', '7', '0.0'
'2019', '1', '22', '15', '2019', '1', '22', '8', '0.0'
'2019', '1', '22', '16', '2019', '1', '22', '9', '0.18817025'
'2019', '1', '22', '17', '2019', '1', '22', '10', '0.475856603'
'2019', '1', '22', '18', '2019', '1', '22', '11', '0.190289555'
'2019', '1', '22', '19', '2019', '1', '22', '12', '0.188877243'
'2019', '1', '22', '20', '2019', '1', '22', '13', '0.307566172'
'2019', '1', '22', '21', '2019', '1', '22', '14', '0.419369844'
'2019', '1', '22', '22', '2019', '1', '22', '15', '0.29949805500000004'
'2019', '1', '22', '23', '2019', '1', '22', '16', '0.134646738'
'2019', '1', '23', '0', '2019', '1', '22', '17', '0.0'
'2019', '1', '23', '1', '2019', '1', '22', '18', '0.0'
'2019', '1', '23', '2', '2019', '1', '22', '19', '0.0'
'2019', '1', '23', '3', '2019', '1', '22', '20', '0.0'
'2019', '1', '23', '4', '2019', '1', '22', '21', '0.0'
'2019', '1', '23', '5', '2019', '1', '22', '22', '0.0'
'2019', '1', '23', '6', '2019', '1', '22', '23', '0.0'
'2019', '1', '23', '7', '2019', '1', '23', '0', '0.0'
'2019', '1', '23', '8', '2019', '1', '23', '1', '0.0'
'2019', '1', '23', '9', '2019', '1', '23', '2', '0.0'
