UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Capacity(kW)
'2019', '12', '7', '17', '2019', '12', '7', '12', '121557.80368699998'
'2019', '12', '7', '18', '2019', '12', '7', '13', '124224.62313499994'
'2019', '12', '7', '19', '2019', '12', '7', '14', '124587.820516'
'2019', '12', '7', '20', '2019', '12', '7', '15', '86189.43062700001'
'2019', '12', '7', '21', '2019', '12', '7', '16', '8458.958586'
'2019', '12', '7', '22', '2019', '12', '7', '17', '1819.2215'
'2019', '12', '7', '23', '2019', '12', '7', '18', '0.0'
'2019', '12', '8', '0', '2019', '12', '7', '19', '0.0'
'2019', '12', '8', '1', '2019', '12', '7', '20', '0.0'
'2019', '12', '8', '2', '2019', '12', '7', '21', '0.0'
'2019', '12', '8', '3', '2019', '12', '7', '22', '0.0'
'2019', '12', '8', '4', '2019', '12', '7', '23', '0.0'
'2019', '12', '8', '5', '2019', '12', '8', '0', '0.0'
'2019', '12', '8', '6', '2019', '12', '8', '1', '0.0'
'2019', '12', '8', '7', '2019', '12', '8', '2', '0.0'
'2019', '12', '8', '8', '2019', '12', '8', '3', '0.0'
'2019', '12', '8', '9', '2019', '12', '8', '4', '0.0'
'2019', '12', '8', '10', '2019', '12', '8', '5', '0.0'
'2019', '12', '8', '11', '2019', '12', '8', '6', '0.0'
'2019', '12', '8', '12', '2019', '12', '8', '7', '1332.20375'
'2019', '12', '8', '13', '2019', '12', '8', '8', '70288.39704700002'
'2019', '12', '8', '14', '2019', '12', '8', '9', '195994.15818799997'
'2019', '12', '8', '15', '2019', '12', '8', '10', '196734.87987499993'
'2019', '12', '8', '16', '2019', '12', '8', '11', '163633.19562400004'
'2019', '12', '8', '17', '2019', '12', '8', '12', '165668.47762499997'
'2019', '12', '8', '18', '2019', '12', '8', '13', '164761.06124899993'
'2019', '12', '8', '19', '2019', '12', '8', '14', '158300.37825'
'2019', '12', '8', '20', '2019', '12', '8', '15', '57472.645003000005'
'2019', '12', '8', '21', '2019', '12', '8', '16', '14839.687493'
'2019', '12', '8', '22', '2019', '12', '8', '17', '5107.2665'
'2019', '12', '8', '23', '2019', '12', '8', '18', '0.0'
'2019', '12', '9', '0', '2019', '12', '8', '19', '0.0'
'2019', '12', '9', '1', '2019', '12', '8', '20', '0.0'
'2019', '12', '9', '2', '2019', '12', '8', '21', '0.0'
'2019', '12', '9', '3', '2019', '12', '8', '22', '0.0'
'2019', '12', '9', '4', '2019', '12', '8', '23', '0.0'
'2019', '12', '9', '5', '2019', '12', '9', '0', '0.0'
'2019', '12', '9', '6', '2019', '12', '9', '1', '0.0'
'2019', '12', '9', '7', '2019', '12', '9', '2', '0.0'
'2019', '12', '9', '8', '2019', '12', '9', '3', '0.0'
'2019', '12', '9', '9', '2019', '12', '9', '4', '0.0'
