UTC_Year, UTC_Month, UTC_Day, UTC_Hour, Year, Month, Day, Hour, Load(MW)
'2019', '1', '6', '18', '2019', '1', '6', '13', '138.32758527299998'
'2019', '1', '6', '19', '2019', '1', '6', '14', '155.935371945'
'2019', '1', '6', '20', '2019', '1', '6', '15', '127.912301968'
'2019', '1', '6', '21', '2019', '1', '6', '16', '30.87085997799999'
'2019', '1', '6', '22', '2019', '1', '6', '17', '9.043646'
'2019', '1', '6', '23', '2019', '1', '6', '18', '0.5227152199999999'
'2019', '1', '7', '0', '2019', '1', '6', '19', '0.0'
'2019', '1', '7', '1', '2019', '1', '6', '20', '0.0'
'2019', '1', '7', '2', '2019', '1', '6', '21', '0.0'
'2019', '1', '7', '3', '2019', '1', '6', '22', '0.0'
'2019', '1', '7', '4', '2019', '1', '6', '23', '0.0'
'2019', '1', '7', '5', '2019', '1', '7', '0', '0.0'
'2019', '1', '7', '6', '2019', '1', '7', '1', '0.0'
'2019', '1', '7', '7', '2019', '1', '7', '2', '0.0'
'2019', '1', '7', '8', '2019', '1', '7', '3', '0.0'
'2019', '1', '7', '9', '2019', '1', '7', '4', '0.0'
'2019', '1', '7', '10', '2019', '1', '7', '5', '0.0'
'2019', '1', '7', '11', '2019', '1', '7', '6', '0.0'
'2019', '1', '7', '12', '2019', '1', '7', '7', '0.0'
'2019', '1', '7', '13', '2019', '1', '7', '8', '45.037266765000005'
'2019', '1', '7', '14', '2019', '1', '7', '9', '153.969429469'
'2019', '1', '7', '15', '2019', '1', '7', '10', '195.757938938'
'2019', '1', '7', '16', '2019', '1', '7', '11', '160.86136890699996'
'2019', '1', '7', '17', '2019', '1', '7', '12', '155.46174081300003'
'2019', '1', '7', '18', '2019', '1', '7', '13', '160.912717827'
'2019', '1', '7', '19', '2019', '1', '7', '14', '221.15089259499993'
'2019', '1', '7', '20', '2019', '1', '7', '15', '143.71410227099994'
'2019', '1', '7', '21', '2019', '1', '7', '16', '35.71116332'
'2019', '1', '7', '22', '2019', '1', '7', '17', '8.894508'
'2019', '1', '7', '23', '2019', '1', '7', '18', '0.511493624'
'2019', '1', '8', '0', '2019', '1', '7', '19', '0.0'
'2019', '1', '8', '1', '2019', '1', '7', '20', '0.0'
'2019', '1', '8', '2', '2019', '1', '7', '21', '0.0'
'2019', '1', '8', '3', '2019', '1', '7', '22', '0.0'
'2019', '1', '8', '4', '2019', '1', '7', '23', '0.0'
'2019', '1', '8', '5', '2019', '1', '8', '0', '0.0'
